CITY;X;Y
city1;17.1747132;84.3266708
city2;55.0375356;30.1137904
city3;29.2212117;22.4052867
city4;34.9830504;85.6270347
city5;6.7113723;50.0210669
city6;99.8117627;57.8733378
city7;99.1133039;76.2250467
city8;13.0692483;63.9718759
city9;15.9517864;25.0080533
city10;66.8928609;43.5356381
city11;35.9700266;35.1441368
city12;13.149159;15.0101788
city13;58.911365;83.0892812
city14;23.0815738;66.573446
city15;77.5857606;30.3658477
city16;11.0492291;50.2384866
city17;16.0172762;87.2462311
city18;26.5114545;28.5814322
city19;59.3955922;72.2719071
city20;62.8248677;46.3797865
city21;41.3306994;11.7695357
city22;31.4212267;4.6551514
city23;33.8550272;18.2099593
city24;64.5727127;56.0745547
city25;76.996172;29.7805864
city26;66.1106261;75.5821674
city27;62.7447499;28.3864198
city28;8.6424624;10.2514669
city29;64.1251151;54.5309498
city30;3.1524852;79.2360642
city31;7.2766998;17.5661049
city32;52.5632613;75.0207669
city33;17.8123714;3.4140986
city34;58.5131173;62.1229984
city35;38.93619;35.8714153
city36;24.3034617;24.6421539
city37;13.0502803;93.344972
city38;37.9937906;78.3400461
city39;30.0034258;12.5483222
city40;74.8874105;6.9232463
city41;20.2015557;0.5065858
city42;26.9613052;49.9851475
city43;15.1285869;17.4169455
city44;33.0637734;31.6906054
city45;32.2086955;96.3976641
city46;99.3602205;36.9903055
city47;37.2888567;77.197833
city48;39.6684142;91.3096325
city49;11.957773;73.5478889
city50;5.5418475;57.6299805
city51;5.140711;0.6008368
city52;40.1227683;51.9881187
city53;62.8877255;22.574988
city54;39.6121408;27.6006131
city55;15.2372608;93.6322836
city56;42.266059;13.4663129
city57;38.6055614;37.4632747
city58;26.848104;94.8370515
